None,date,ticker,reportperiod,datekey,assets_sharadar,liabilities_sharadar,sgna_sharadar,rnd_sharadar,ebitda_sharadar,deferredrev_sharadar,cor_sharadar,gp_sharadar,debtc_sharadar,investments_sharadar,ppnenet_sharadar,revenue_sharadar,intangibles_sharadar,cashneq_sharadar,inventory_sharadar,accoci_sharadar,payables_sharadar,cashneq_sharadar,dps_sharadar,receivables_sharadar,capex_sharadar,equity_sharadar,opinc_sharadar
67,2013-09,IBM,2013-09-30,2013-09-30,117845000000.0,97837000000.0,23348000000.0,5642000000.0,25711000000.0,15745000000.0,49871000000.0,49470000000.0,7702000000.0,33339000000.0,13877000000.0,99341000000.0,34885000000.0,10072000000.0,2492000000.0,-24971000000.0,6263000000.0,10072000000.0,3.6,11548000000.0,-3691000000.0,19877000000.0,21589000000.0
68,2013-06,IBM,2013-06-30,2013-06-30,115153000000.0,97269000000.0,23996000000.0,5820000000.0,25956000000.0,16407000000.0,50979000000.0,49771000000.0,7830000000.0,34009000000.0,13356000000.0,100750000000.0,32264000000.0,9558000000.0,2389000000.0,-25774000000.0,6821000000.0,9558000000.0,3.5,12175000000.0,-3695000000.0,17756000000.0,21719000000.0
69,2013-03,IBM,2013-03-31,2013-03-31,117258000000.0,98044000000.0,23153000000.0,5859000000.0,27032000000.0,17380000000.0,51689000000.0,49920000000.0,8725000000.0,34505000000.0,13597000000.0,101609000000.0,32626000000.0,10585000000.0,2421000000.0,-25466000000.0,7203000000.0,10585000000.0,3.4,12055000000.0,-4035000000.0,19092000000.0,22755000000.0
71,2012-09,IBM,2012-09-30,2012-09-30,115778000000.0,94112000000.0,23707000000.0,6277000000.0,26521000000.0,15493000000.0,54837000000.0,49852000000.0,9334000000.0,31067000000.0,14027000000.0,104689000000.0,31835000000.0,11909000000.0,2586000000.0,-20720000000.0,7085000000.0,11909000000.0,3.2,11838000000.0,-4383000000.0,21541000000.0,21807000000.0
72,2012-06,IBM,2012-06-30,2012-06-30,113832000000.0,93269000000.0,23461000000.0,6289000000.0,26457000000.0,16200000000.0,55805000000.0,50294000000.0,7669000000.0,30830000000.0,13865000000.0,106099000000.0,31392000000.0,10864000000.0,2758000000.0,-21498000000.0,7482000000.0,10864000000.0,3.1,11875000000.0,-4329000000.0,20472000000.0,21744000000.0
73,2012-03,IBM,2012-03-31,2012-03-31,115347000000.0,94563000000.0,23654000000.0,6271000000.0,26192000000.0,17173000000.0,56585000000.0,50397000000.0,6293000000.0,31031000000.0,13946000000.0,106982000000.0,31109000000.0,11835000000.0,2754000000.0,-21115000000.0,7416000000.0,11835000000.0,3.0,11681000000.0,-4003000000.0,20701000000.0,21449000000.0
75,2011-09,IBM,2011-09-30,2011-09-30,110158000000.0,87781000000.0,23469000000.0,6280000000.0,25944000000.0,14886000000.0,56807000000.0,49641000000.0,6071000000.0,29397000000.0,13887000000.0,106448000000.0,27946000000.0,11303000000.0,2663000000.0,-18099000000.0,7093000000.0,11303000000.0,2.8,10842000000.0,-4104000000.0,22291000000.0,21083000000.0
76,2011-06,IBM,2011-06-30,2011-06-30,113474000000.0,90263000000.0,22956000000.0,6198000000.0,25593000000.0,16301000000.0,56093000000.0,48469000000.0,7858000000.0,30516000000.0,14239000000.0,104562000000.0,28814000000.0,11714000000.0,2573000000.0,-17109000000.0,7112000000.0,11714000000.0,2.7,11666000000.0,-4121000000.0,23127000000.0,20720000000.0
77,2011-03,IBM,2011-03-31,2011-03-31,112960000000.0,90185000000.0,21987000000.0,6104000000.0,25253000000.0,16544000000.0,54726000000.0,46894000000.0,8508000000.0,30481000000.0,14208000000.0,101620000000.0,28732000000.0,12763000000.0,2549000000.0,-18119000000.0,6747000000.0,12763000000.0,2.6,11293000000.0,-4138000000.0,22671000000.0,20402000000.0
79,2010-09,IBM,2010-09-30,2010-09-30,107174000000.0,84815000000.0,21447000000.0,5908000000.0,24358000000.0,13986000000.0,53150000000.0,44932000000.0,5556000000.0,30433000000.0,14009000000.0,98082000000.0,25750000000.0,9859000000.0,2629000000.0,-17479000000.0,7084000000.0,9859000000.0,2.4,10904000000.0,-4031000000.0,22238000000.0,19497000000.0
80,2010-06,IBM,2010-06-30,2010-06-30,103420000000.0,82244000000.0,21311000000.0,5890000000.0,24098000000.0,14012000000.0,52818000000.0,44559000000.0,5633000000.0,30440000000.0,13534000000.0,97377000000.0,23070000000.0,10325000000.0,2595000000.0,-18510000000.0,7233000000.0,10325000000.0,2.3,10191000000.0,-3997000000.0,21059000000.0,19183000000.0
81,2010-03,IBM,2010-03-31,2010-03-31,105208000000.0,83059000000.0,21365000000.0,5849000000.0,23854000000.0,14912000000.0,52572000000.0,44331000000.0,5014000000.0,29924000000.0,13841000000.0,96903000000.0,23507000000.0,12472000000.0,2524000000.0,-18178000000.0,6345000000.0,12472000000.0,2.2,10428000000.0,-3891000000.0,22033000000.0,18880000000.0
83,2009-09,IBM,2009-09-30,2009-09-30,103675000000.0,85182000000.0,21225000000.0,5888000000.0,23128000000.0,13051000000.0,51958000000.0,43576000000.0,4885000000.0,30204000000.0,14189000000.0,95534000000.0,21708000000.0,9532000000.0,2546000000.0,-20487000000.0,6145000000.0,9532000000.0,2.1,10678000000.0,-3628000000.0,18396000000.0,18079000000.0
84,2009-06,IBM,2009-06-30,2009-06-30,103655000000.0,88182000000.0,21856000000.0,6021000000.0,22846000000.0,13618000000.0,53362000000.0,43908000000.0,8504000000.0,28974000000.0,13948000000.0,97270000000.0,21317000000.0,11678000000.0,2691000000.0,-21043000000.0,5869000000.0,11678000000.0,2.05,10740000000.0,-3780000000.0,15380000000.0,17676000000.0
85,2009-03,IBM,2009-03-31,2009-03-31,101944000000.0,88252000000.0,23030000000.0,6247000000.0,22603000000.0,13637000000.0,55914000000.0,44926000000.0,9870000000.0,27916000000.0,13727000000.0,100840000000.0,20791000000.0,12294000000.0,2759000000.0,-21649000000.0,5878000000.0,12294000000.0,2.0,10511000000.0,-4085000000.0,13601000000.0,17273000000.0
